provider,hospital,hospcity,hospstate,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
260115,Missouri Baptist Sullivan Hosp,Sullivan,MO,26082,St. Louis,MO,273,St. Louis,MO
260116,Mineral Area Regional Med Ctr,Farmington,MO,26029,Farmington,MO,273,St. Louis,MO
260119,Poplar Bluff Regional Med Ctr,Poplar Bluff,MO,26071,Poplar Bluff,MO,273,St. Louis,MO
260137,Freeman Health System,Joplin,MO,26040,Joplin,MO,267,Joplin,MO
260138,St. Luke's Hosp of Kansas City,Kansas City,MO,26041,Kansas City,MO,268,Kansas City,MO
260141,Univ of Missouri Hosps and Clinics,Columbia,MO,26021,Columbia,MO,264,Columbia,MO
260142,Fitzgibbon Hospital,Marshall,MO,26056,Marshall,MO,264,Columbia,MO
260147,Sac-Osage Hospital,Osceola,MO,26068,Osceola,MO,268,Kansas City,MO
260160,Missouri Southern Healthcare,Dexter,MO,26023,Dexter,MO,263,Cape Girardeau,MO
260162,Barnes-Jewish West County Hosp,Creve Coeur,MO,26082,St. Louis,MO,273,St. Louis,MO
260163,Parkland Health Center,Farmington,MO,26029,Farmington,MO,273,St. Louis,MO
260175,Golden Valley Mem Healthcare,Clinton,MO,26020,Clinton,MO,268,Kansas City,MO
260176,Des Peres Hospital,St. Louis,MO,26082,St. Louis,MO,273,St. Louis,MO
260177,Liberty Hospital,Liberty,MO,26050,Liberty,MO,268,Kansas City,MO
260179,St. Luke's Hosp-Chesterfield,Chesterfield,MO,26082,St. Louis,MO,273,St. Louis,MO
260180,Christian Hospital,St. Louis,MO,26082,St. Louis,MO,273,St. Louis,MO
260183,St. Francis Med Ctr-Cape Girardeau,Cape Girardeau,MO,26013,Cape Girardeau,MO,263,Cape Girardeau,MO
260186,Lake Regional Health System,Osage Beach,MO,26067,Osage Beach,MO,264,Columbia,MO
260190,Lee's Summit Medical Center,Lees Summit,MO,26048,Lees Summit,MO,268,Kansas City,MO
260191,Barnes-Jewish St. Peters Hosp,St. Peters,MO,26082,St. Louis,MO,273,St. Louis,MO
260193,St. Mary's Med Ctr-Blue Springs,Blue Springs,MO,26005,Blue Springs,MO,268,Kansas City,MO
260195,Citizens Memorial Hospital,Bolivar,MO,26006,Bolivar,MO,270,Springfield,MO
260200,SSM St. Joseph Hospital West,Lake St. Louis,MO,26045,Lake Saint Louis,MO,273,St. Louis,MO
260207,Ozarks Community Hospital,Springfield,MO,26079,Springfield,MO,270,Springfield,MO
260209,Callaway Community Hospital,Fulton,MO,26021,Columbia,MO,264,Columbia,MO
260210,St. Alexius Hosp - Broadway Campus,St. Louis,MO,26082,St. Louis,MO,273,St. Louis,MO
260211,St. Luke's Cancer Institute,Kansas City,MO,26041,Kansas City,MO,268,Kansas City,MO
260214,Research Belton Hospital,Belton,MO,26041,Kansas City,MO,268,Kansas City,MO
260216,St. Luke's East-Lee's Summit,Lee's Summit,MO,26048,Lees Summit,MO,268,Kansas City,MO
260219,Progress West HealthCare Center,O'Fallon,MO,26080,St. Charles,MO,273,St. Louis,MO
261301,Ellett Memorial Hospital,Appleton City,MO,26002,Appleton City,MO,268,Kansas City,MO
261302,Madison Medical Center,Fredericktown,MO,26031,Fredericktown,MO,273,St. Louis,MO
261303,Community Hospital-Fairfax,Fairfax,MO,26028,Fairfax,MO,278,Omaha,NE
261304,Advanced Healthcare Med Ctr,Ellington,MO,26026,Ellington,MO,273,St. Louis,MO
261305,Putnam County Memorial Hospital,Unionville,MO,26090,Unionville,MO,264,Columbia,MO
261306,Sullivan County Memorial Hosp,Milan,MO,26060,Milan,MO,264,Columbia,MO
261307,General John J. Pershing Mem Hosp,Brookfield,MO,26010,Brookfield,MO,264,Columbia,MO
261308,Washington County Memorial Hosp,Potosi,MO,26072,Potosi,MO,273,St. Louis,MO
261309,Wright Memorial Hospital,Trenton,MO,26088,Trenton,MO,268,Kansas City,MO
261310,Scotland County Hospital,Memphis,MO,26058,Memphis,MO,192,Des Moines,IA
261311,Perry County Memorial Hospital,Perryville,MO,26069,Perryville,MO,263,Cape Girardeau,MO
261312,Harrison County Community Hosp,Bethany,MO,26004,Bethany,MO,268,Kansas City,MO
261313,Samaritan Memorial Hospital,Macon,MO,26053,Macon,MO,264,Columbia,MO
261314,Hermann Area District Hospital,Hermann,MO,26036,Hermann,MO,264,Columbia,MO
261316,St. John's Hospital - Aurora,Aurora,MO,26003,Aurora,MO,270,Springfield,MO
261317,St. John's Hospital - Cassville,Cassville,MO,26079,Springfield,MO,270,Springfield,MO
261318,Salem Memorial District Hospital,Salem,MO,26075,Salem,MO,273,St. Louis,MO
261319,Lincoln County Medical Center,Troy,MO,26089,Troy,MO,273,St. Louis,MO
261320,Lafayette Regional Health Center,Lexington,MO,26049,Lexington,MO,268,Kansas City,MO
261321,Hedrick Medical Center,Chillicothe,MO,26019,Chillicothe,MO,268,Kansas City,MO
261322,Excelsior Springs Hospital,Excelsior Springs,MO,26027,Excelsior Springs,MO,268,Kansas City,MO
261323,Cedar County Memorial Hospital,El Dorado Springs,MO,26025,El Dorado Springs,MO,270,Springfield,MO
261324,Cass Regional Medical Center,Harrisonville,MO,26034,Harrisonville,MO,268,Kansas City,MO
261325,Barton County Memorial Hospital,Lamar,MO,26046,Lamar,MO,267,Joplin,MO
261326,McCune-Brooks Regional Hospital,Carthage,MO,26015,Carthage,MO,267,Joplin,MO
261327,Ray County Memorial Hospital,Richmond,MO,26073,Richmond,MO,268,Kansas City,MO
261328,Northwest Medical Center,Albany,MO,26001,Albany,MO,268,Kansas City,MO
261329,Cox Monett,Monett,MO,26079,Springfield,MO,270,Springfield,MO
261330,Ste. Genevieve Cty Memorial Hosp,Sainte Genevieve,MO,26084,Ste Genevieve,MO,273,St. Louis,MO
261331,Freeman Neosho Hospital,Neosho,MO,26064,Neosho,MO,267,Joplin,MO
261332,Carroll County Memorial Hospital,Carrollton,MO,26014,Carrollton,MO,268,Kansas City,MO
261333,Pike County Memorial Hospital,Louisiana,MO,26052,Louisiana,MO,273,St. Louis,MO
261334,I-70 Community Hospital,Sweet Springs,MO,26056,Marshall,MO,264,Columbia,MO
261335,St. John's St. Francis Hospital,Mountain View,MO,26079,Springfield,MO,270,Springfield,MO
261336,Iron County Hospital,Pilot Knob,MO,26070,Pilot Knob,MO,273,St. Louis,MO
262017,Select Specialty Hosp-Springfield,Springfield,MO,26079,Springfield,MO,270,Springfield,MO
262018,Northland LTAC Hospital,Kansas City,MO,26066,North Kansas City,MO,268,Kansas City,MO
262019,Heartland Long Term Acute Care,St. Joseph,MO,26081,St. Joseph,MO,268,Kansas City,MO
262020,Landmark Hospital of Columbia,Columbia,MO,26021,Columbia,MO,264,Columbia,MO
270003,St. Peter's Hospital,Helena,MT,27027,Helena,MT,274,Billings,MT
270004,Billings Clinic,Billings,MT,27005,Billings,MT,274,Billings,MT
270012,Benefis Hospitals,Great Falls,MT,27022,Great Falls,MT,275,Great Falls,MT
270014,St. Patrick Hospital,Missoula,MT,27034,Missoula,MT,276,Missoula,MT
270017,St. James Healthcare,Butte,MT,27007,Butte,MT,276,Missoula,MT
270023,Community Med Ctr-Missoula,Missoula,MT,27034,Missoula,MT,276,Missoula,MT
270032,Northern Montana Hospital,Havre,MT,27026,Havre,MT,275,Great Falls,MT
270049,St. Vincent Healthcare,Billings,MT,27005,Billings,MT,274,Billings,MT
270051,Kalispell Regional Med Ctr,Kalispell,MT,27028,Kalispell,MT,276,Missoula,MT
270057,Bozeman Deaconess Hospital,Bozeman,MT,27006,Bozeman,MT,274,Billings,MT
270074,US Pub Health Svc Blackfeet Comm,Browning,MT,27054,Browning,MT,275,Great Falls,MT
270086,Great Falls Clinic Med Ctr,Great Falls,MT,27022,Great Falls,MT,275,Great Falls,MT
270087,The HealthCenter,Kalispell,MT,27028,Kalispell,MT,276,Missoula,MT
271300,Poplar Community Hospital,Poplar,MT,27039,Poplar,MT,274,Billings,MT
271301,Fallon Medical Complex,Baker,MT,27002,Baker,MT,274,Billings,MT
271302,Dahl Memorial Healthcare Assoc,Ekalaka,MT,27002,Baker,MT,274,Billings,MT
271303,Granite County Medical Center,Philipsburg,MT,27034,Missoula,MT,276,Missoula,MT
271304,Missouri River Medical Center,Fort Benton,MT,27022,Great Falls,MT,275,Great Falls,MT
271305,McCone County Health Center,Circle,MT,27046,Sidney,MT,274,Billings,MT
271306,Mountainview Medical Center,White Sulphur Spring,MT,27051,White Sulphur Springs,MT,274,Billings,MT
271307,Teton Medical Center,Choteau,MT,27022,Great Falls,MT,275,Great Falls,MT
271308,Roosevelt Medical Center,Culbertson,MT,35045,Williston,ND,324,Minot,ND
271309,Prairie Community Hospital,Terry,MT,27033,Miles City,MT,274,Billings,MT
271311,Big Sandy Medical Center,Big Sandy,MT,27022,Great Falls,MT,275,Great Falls,MT
271312,Phillips County Hospital,Malta,MT,27032,Malta,MT,275,Great Falls,MT
271313,Pioneer Medical Center,Big Timber,MT,27005,Billings,MT,274,Billings,MT
271314,Powell County Medical Center,Deer Lodge,MT,27015,Deer Lodge,MT,276,Missoula,MT
271315,Fort Belknap US Pub Health Svc,Harlem,MT,27026,Havre,MT,275,Great Falls,MT
271316,Frances Mahon Deaconess Hospital,Glasgow,MT,27020,Glasgow,MT,274,Billings,MT
271317,Livingston Memorial Hospital,Livingston,MT,27031,Livingston,MT,274,Billings,MT
271318,Barrett Hospital & HealthCare,Dillon,MT,27016,Dillon,MT,276,Missoula,MT
271319,Ruby Valley Hospital,Sheridan,MT,27045,Sheridan,MT,276,Missoula,MT
271320,St. John's Lutheran Hospital,Libby,MT,27030,Libby,MT,276,Missoula,MT
271321,Wheatland Memorial Healthcare,Harlowton,MT,27005,Billings,MT,274,Billings,MT
271322,Sheridan Memorial Hospital,Plentywood,MT,27037,Plentywood,MT,274,Billings,MT
271323,Clark Fork Valley Hospital,Plains,MT,27036,Plains,MT,276,Missoula,MT
271324,Pondera Medical Center,Conrad,MT,27012,Conrad,MT,275,Great Falls,MT
271325,St. Luke Community Hospital,Ronan,MT,27041,Ronan,MT,276,Missoula,MT
271326,Beartooth Hosp and Health Center,Red Lodge,MT,27040,Red Lodge,MT,274,Billings,MT
271327,Rosebud Health Care Center,Forsyth,MT,27005,Billings,MT,274,Billings,MT
271328,Marias Medical Center,Shelby,MT,27044,Shelby,MT,275,Great Falls,MT
271329,Madison Valley Medical Center,Ennis,MT,27017,Ennis,MT,274,Billings,MT
271330,Stillwater Community Hospital,Columbus,MT,27005,Billings,MT,274,Billings,MT
271331,Mineral Community Hospital,Superior,MT,27047,Superior,MT,276,Missoula,MT
271332,Glendive Medical Center,Glendive,MT,27021,Glendive,MT,274,Billings,MT
271333,Broadwater Health Center,Townsend,MT,27049,Townsend,MT,274,Billings,MT
271334,Liberty Medical Center,Chester,MT,27008,Chester,MT,275,Great Falls,MT
271335,Community Hospital of Anaconda,Anaconda,MT,27001,Anaconda,MT,276,Missoula,MT
271336,North Valley Hospital,Whitefish,MT,27052,Whitefish,MT,276,Missoula,MT
271337,Northern Rockies Medical Center,Cut Bank,MT,27014,Cut Bank/Browning,MT,275,Great Falls,MT
271338,Big Horn County Memorial Hosp,Hardin,MT,27024,Hardin,MT,274,Billings,MT
271339,Crow/Northern Cheyenne Hospital,Crow Agency,MT,27024,Hardin,MT,274,Billings,MT
271340,Marcus Daly Memorial Hospital,Hamilton,MT,27023,Hamilton,MT,276,Missoula,MT
271341,Trinity Hospital,Wolf Point,MT,27053,Wolf Point,MT,274,Billings,MT
271342,Daniels Memorial Healthcare Ctr,Scobey,MT,27043,Scobey,MT,274,Billings,MT
271343,St. Joseph Hospital,Polson,MT,27038,Polson,MT,276,Missoula,MT
271344,Sidney Health Center,Sidney,MT,27046,Sidney,MT,274,Billings,MT
271345,Central Montana Medical Center,Lewistown,MT,27029,Lewistown,MT,274,Billings,MT
271346,Roundup Memorial Healthcare,Roundup,MT,27005,Billings,MT,274,Billings,MT
271347,Holy Rosary Healthcare,Miles City,MT,27033,Miles City,MT,274,Billings,MT
280003,BryanLGH Medical Center,Lincoln,NE,28045,Lincoln,NE,277,Lincoln,NE
280009,Good Samaritan Hospital,Kearney,NE,28042,Kearney,NE,278,Omaha,NE
280013,Nebraska Medical Center,Omaha,NE,28056,Omaha,NE,278,Omaha,NE
280020,St. Elizabeth Regional Med Ctr,Lincoln,NE,28045,Lincoln,NE,277,Lincoln,NE
280023,St. Francis Med Ctr-Grand Island,Grand Island,NE,28034,Grand Island,NE,278,Omaha,NE
280030,Creighton University Med Ctr,Omaha,NE,28056,Omaha,NE,278,Omaha,NE
280032,Mary Lanning Memorial Hospital,Hastings,NE,28036,Hastings,NE,277,Lincoln,NE
280040,Nebraska Methodist Hospital,Omaha,NE,28056,Omaha,NE,278,Omaha,NE
280060,Alegent Health-Bergan Mercy,Omaha,NE,28056,Omaha,NE,278,Omaha,NE
280061,Regional West Medical Center,Scottsbluff,NE,28068,Scottsbluff,NE,103,Denver,CO
280065,Great Plains Regional Med Ctr,North Platte,NE,28052,North Platte,NE,277,Lincoln,NE
280077,Fremont Area Medical Center,Fremont,NE,28027,Fremont,NE,278,Omaha,NE
280081,Alegent Health-Immanuel Med Ctr,Omaha,NE,28056,Omaha,NE,278,Omaha,NE
280105,Alegent Health-Midlands Hospital,Papillion,NE,28056,Omaha,NE,278,Omaha,NE
280111,Columbus Community Hospital,Columbus,NE,28018,Columbus,NE,278,Omaha,NE
280119,U.S. Public Hlth Svc Indian Hosp,Winnebago,NE,16098,Sioux City,IA,196,Sioux City,IA
280125,Faith Regional Health Services,Norfolk,NE,28051,Norfolk,NE,278,Omaha,NE
280127,Lincoln Surgical Hospital,Lincoln,NE,28045,Lincoln,NE,277,Lincoln,NE
280128,Nebraska Heart Hospital,Lincoln,NE,28045,Lincoln,NE,277,Lincoln,NE
280129,Nebraska Orthopaedic Hospital,Omaha,NE,28056,Omaha,NE,278,Omaha,NE
280130,Alegent Health-Lakeside Hospital,Omaha,NE,28056,Omaha,NE,278,Omaha,NE
280131,Midwest Surgical Hospital,Omaha,NE,28056,Omaha,NE,278,Omaha,NE
280132,Bellevue Medical Center,Bellevue,NE,28056,Omaha,NE,278,Omaha,NE
280133,"Nebraska Spine Hospital, LLC",Omaha,NE,28056,Omaha,NE,278,Omaha,NE
281300,Harlan County Health System,Alma,NE,28004,Alma,NE,277,Lincoln,NE
281301,Fillmore County Hospital,Geneva,NE,28030,Geneva,NE,277,Lincoln,NE
281302,Pawnee County Memorial Hospital,Pawnee City,NE,28062,Pawnee City,NE,277,Lincoln,NE
281304,Thayer County Health Services,Hebron,NE,28037,Hebron,NE,277,Lincoln,NE
281305,Kimball Health Services,Kimball,NE,28043,Kimball,NE,104,Fort Collins,CO
281306,Kearney County Health Services,Minden,NE,28048,Minden,NE,278,Omaha,NE
281307,Saunders Medical Center,Wahoo,NE,28077,Wahoo,NE,278,Omaha,NE
281308,Henderson Health Care Services,Henderson,NE,28038,Henderson,NE,277,Lincoln,NE
281309,Community Memorial Hospital,Syracuse,NE,28073,Syracuse,NE,277,Lincoln,NE
281310,Garden County Health Services,Oshkosh,NE,28059,Oshkosh,NE,103,Denver,CO
281311,Franklin County Memorial Hosp,Franklin,NE,28026,Franklin,NE,277,Lincoln,NE
281312,Genoa Community Hospital,Genoa,NE,28031,Genoa,NE,278,Omaha,NE
281313,Gothenburg Memorial Hospital,Gothenburg,NE,28033,Gothenburg,NE,277,Lincoln,NE
281314,Annie Jeffrey Mem Cty Health Ctr,Osceola,NE,28058,Osceola,NE,278,Omaha,NE
281315,Brodstone Memorial Hospital,Superior,NE,28072,Superior,NE,277,Lincoln,NE
281316,Webster County Community Hosp,Red Cloud,NE,28065,Red Cloud,NE,277,Lincoln,NE
281317,Tilden Community Hospital,Tilden,NE,28051,Norfolk,NE,278,Omaha,NE
281318,Morrill County Community Hosp,Bridgeport,NE,28068,Scottsbluff,NE,103,Denver,CO
281319,Jefferson Community Health Ctr,Fairbury,NE,28024,Fairbury,NE,277,Lincoln,NE
281320,Memorial Community Health-Aurora,Aurora,NE,28007,Aurora,NE,277,Lincoln,NE
281321,Oakland Mercy Hospital,Oakland,NE,28054,Oakland,NE,278,Omaha,NE
281322,St. Francis Memorial-West Point,West Point,NE,28079,West Point,NE,278,Omaha,NE
281323,Alegent Health-Memorial Hospital,Schuyler,NE,28067,Schuyler,NE,278,Omaha,NE
281324,Nemaha County Hospital,Auburn,NE,28006,Auburn,NE,278,Omaha,NE
281325,Brown County Hospital,Ainsworth,NE,28001,Ainsworth,NE,278,Omaha,NE
281326,Antelope Memorial Hospital,Neligh,NE,28050,Neligh,NE,278,Omaha,NE
281327,Cozad Community Hospital,Cozad,NE,28019,Cozad,NE,277,Lincoln,NE
281328,Litzenberg Memorial County Hosp,Central City,NE,28016,Central City,NE,278,Omaha,NE
281329,Avera St. Anthony's Hospital,O'Neill,NE,28053,O'Neill,NE,278,Omaha,NE
281330,Warren Memorial Hospital,Friend,NE,28045,Lincoln,NE,277,Lincoln,NE
281331,Avera Creighton Hospital,Creighton,NE,28021,Creighton,NE,278,Omaha,NE
281332,Butler County Health Care Center,David City,NE,28023,David City,NE,277,Lincoln,NE
281333,Rock County Hospital,Bassett,NE,28008,Bassett,NE,278,Omaha,NE
281334,Boone County Health Center,Albion,NE,28002,Albion,NE,278,Omaha,NE
281335,Callaway District Hospital,Callaway,NE,28014,Callaway,NE,277,Lincoln,NE
281336,York General Hospital,York,NE,28080,York,NE,277,Lincoln,NE
281338,Howard County Medical Center,St. Paul,NE,28071,St. Paul,NE,278,Omaha,NE
281339,Memorial Health Care Sys-Seward,Seward,NE,28069,Seward,NE,277,Lincoln,NE
281340,Dundy County Hospital,Benkelman,NE,28010,Benkelman,NE,103,Denver,CO
281341,Chadron Community Hospital,Chadron,NE,28017,Chadron,NE,370,Rapid City,SD
281342,St. Mary's Community Hospital,Nebraska City,NE,28049,Nebraska City,NE,278,Omaha,NE
281343,West Holt Memorial Hospital,Atkinson,NE,28005,Atkinson,NE,278,Omaha,NE
281344,Cherry County Hospital,Valentine,NE,28076,Valentine,NE,277,Lincoln,NE
281345,Providence Medical Center,Wayne,NE,28078,Wayne,NE,196,Sioux City,IA
281346,Plainview Area Health System,Plainview,NE,28064,Plainview,NE,278,Omaha,NE
281347,Osmond General Hospital,Osmond,NE,28060,Osmond,NE,278,Omaha,NE
281348,Tri Valley Health System,Cambridge,NE,28015,Cambridge,NE,277,Lincoln,NE
281349,Pender Community Hospital,Pender,NE,28063,Pender,NE,196,Sioux City,IA
281350,Johnson County Hospital,Tecumseh,NE,28074,Tecumseh,NE,277,Lincoln,NE
281351,Chase County Community Hospital,Imperial,NE,28041,Imperial,NE,103,Denver,CO
281352,Community Med Ctr-Falls City,Falls City,NE,28025,Falls City,NE,278,Omaha,NE
281353,Valley County Health System,Ord,NE,28057,Ord,NE,278,Omaha,NE
281354,Crete Area Medical Center,Crete,NE,28022,Crete,NE,277,Lincoln,NE
281355,Ogallala Community Hospital,Ogallala,NE,28055,Ogallala,NE,103,Denver,CO
281356,Perkins County Health Services,Grant,NE,28035,Grant,NE,103,Denver,CO
281357,Memorial Health Center-Sidney,Sidney,NE,28070,Sidney,NE,103,Denver,CO
281358,Gordon Memorial Hospital,Gordon,NE,28032,Gordon,NE,370,Rapid City,SD
281359,Memorial Community Hosp-Blair,Blair,NE,28011,Blair,NE,278,Omaha,NE
281360,Box Butte General Hospital,Alliance,NE,28003,Alliance,NE,103,Denver,CO
281361,Tri-County Area Hospital,Lexington,NE,28044,Lexington,NE,277,Lincoln,NE
281362,Phelps Memorial Health Center,Holdrege,NE,28039,Holdrege,NE,277,Lincoln,NE
281363,Community Hospital-McCook,McCook,NE,28047,McCook,NE,103,Denver,CO
281364,Beatrice Community Hospital,Beatrice,NE,28009,Beatrice,NE,277,Lincoln,NE
281365,Jennie M. Melham Mem Med Ctr,Broken Bow,NE,28013,Broken Bow,NE,277,Lincoln,NE
290001,Renown Regional Medical Center,Reno,NV,29013,Reno,NV,280,Reno,NV
290002,South Lyon Medical Center,Yerington,NV,29013,Reno,NV,280,Reno,NV
290003,Sunrise Hospital and Med Ctr,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290005,North Vista Hospital,North Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290006,Banner Churchill Community Hosp,Fallon,NV,29006,Fallon,NV,280,Reno,NV
290007,University Medical Center,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290008,Northeastern Nevada Reg Hosp,Elko,NV,29004,Elko,NV,423,Salt Lake City,UT
290009,St. Mary's Regional Med Ctr,Reno,NV,29013,Reno,NV,280,Reno,NV
290012,St. Rose Dominican-Rose de Lima,Henderson,NV,29008,Henderson,NV,279,Las Vegas,NV
290019,Carson Tahoe Regional Healthcare,Carson City,NV,29003,Carson City,NV,280,Reno,NV
290020,Nye Regional Medical Center,Tonopah,NV,29015,Tonopah,NV,280,Reno,NV
290021,Valley Hospital Medical Center,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290022,Desert Springs Hospital Med Ctr,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290032,Northern Nevada Medical Center,Sparks,NV,29013,Reno,NV,280,Reno,NV
290039,MountainView Hospital,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290041,Summerlin Hospital Med Ctr,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290042,Harmon Med and Rehabilitation Hosp,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290045,St. Rose Dominican-Siena,Henderson,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290046,Spring Valley Hospital Med Ctr,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290047,Southern Hills Hosp and Med Ctr,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290049,Renown South Meadows Med Ctr,Reno,NV,29013,Reno,NV,280,Reno,NV
290051,Sierra Surgery Hospital,Carson City,NV,29003,Carson City,NV,280,Reno,NV
290053,St. Rose Dominican-San Martin,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
290054,Centennial Hills Hosp Med Ctr,Las Vegas,NV,29010,Las Vegas,NV,279,Las Vegas,NV
291300,Mount Grant General Hospital,Hawthorne,NV,29007,Hawthorne,NV,280,Reno,NV
291302,William Bee Ririe Hospital,Ely,NV,29005,Ely,NV,423,Salt Lake City,UT
291303,Battle Mountain General Hospital,Batte Mountain,NV,29001,Battle Mountain,NV,280,Reno,NV
291304,Pershing General Hospital,Lovelock,NV,29013,Reno,NV,280,Reno,NV
291306,Carson Valley Medical Center,Gardnerville,NV,29003,Carson City,NV,280,Reno,NV
291307,Mesa View Regional Hospital,Mesquite,NV,29010,Las Vegas,NV,279,Las Vegas,NV
291308,Humboldt General Hospital,Winnemucca,NV,29016,Winnemucca,NV,280,Reno,NV
291309,Boulder City Hospital,Boulder City,NV,29002,Boulder City,NV,279,Las Vegas,NV
291311,Grover C. Dils Med Ctr-Pahrump,Pahrump,NV,29010,Las Vegas,NV,279,Las Vegas,NV
291312,Grover C. Dils Med Ctr-Caliente,Caliente,NV,46030,St. George,UT,423,Salt Lake City,UT
292008,Carson Tahoe Continuing Care Hosp,Carson City,NV,29003,Carson City,NV,280,Reno,NV
300001,Concord Hospital,Concord,NH,30004,Concord,NH,282,Manchester,NH
300003,Dartmouth-Hitchcock Med Ctr,Lebanon,NH,30013,Lebanon,NH,281,Lebanon,NH
300005,Lakes Region General Hospital,Laconia,NH,30011,Laconia,NH,282,Manchester,NH
300011,St. Joseph Hospital,Nashua,NH,30016,Nashua,NH,282,Manchester,NH
300012,Elliot Hospital,Manchester,NH,30015,Manchester,NH,282,Manchester,NH
300014,Frisbie Memorial Hospital,Rochester,NH,30023,Rochester,NH,222,Portland,ME
300017,Parkland Medical Center,Derry,NH,30005,Derry,NH,282,Manchester,NH
300018,Wentworth-Douglass Hospital,Dover,NH,30006,Dover,NH,222,Portland,ME
300019,Cheshire Medical Center,Keene,NH,30010,Keene,NH,281,Lebanon,NH
300020,Southern New Hampshire Med Ctr,Nashua,NH,30016,Nashua,NH,282,Manchester,NH
300023,Exeter Hospital,Exeter,NH,30007,Exeter,NH,282,Manchester,NH
300029,Portsmouth Regional Hospital,Portsmouth,NH,30022,Portsmouth,NH,282,Manchester,NH
300034,Catholic Medical Center,Manchester,NH,30015,Manchester,NH,282,Manchester,NH
301300,Upper Connecticut Valley Hosp,Colebrook,NH,30003,Colebrook,NH,281,Lebanon,NH
301301,Cottage Hospital,Woodsville,NH,30025,Woodsville,NH,281,Lebanon,NH
301302,Littleton Regional Hospital,Littleton,NH,30014,Littleton,NH,281,Lebanon,NH
301303,Weeks Medical Center,Lancaster,NH,30012,Lancaster,NH,281,Lebanon,NH
301304,New London Hospital,New London,NH,30017,New London,NH,281,Lebanon,NH
301305,Alice Peck Day Memorial Hospital,Lebanon,NH,30013,Lebanon,NH,281,Lebanon,NH
301306,Franklin Regional Hospital,Franklin,NH,30008,Franklin,NH,282,Manchester,NH
301307,Memorial Hospital,North Conway,NH,30019,North Conway,NH,222,Portland,ME
301308,Valley Regional Hospital,Claremont,NH,30002,Claremont,NH,281,Lebanon,NH
301309,Monadnock Community Hospital,Peterborough,NH,30020,Peterborough,NH,282,Manchester,NH
301310,Androscoggin Valley Hospital,Berlin,NH,30001,Berlin,NH,281,Lebanon,NH
301311,Speare Memorial Hospital,Plymouth,NH,30021,Plymouth,NH,282,Manchester,NH
301312,Huggins Hospital,Wolfeboro,NH,30024,Wolfeboro,NH,282,Manchester,NH
310001,Hackensack University Med Ctr,Hackensack,NJ,31016,Hackensack,NJ,284,Hackensack,NJ
310002,Newark Beth Israel Med Ctr,Newark,NJ,31035,Newark,NJ,289,Newark,NJ
310003,Palisades Medical Center,North Bergen,NJ,31037,North Bergen,NJ,284,Hackensack,NJ
310005,Hunterdon Medical Center,Flemington,NJ,31014,Flemington,NJ,356,Philadelphia,PA
310006,St. Mary's Hospital,Passaic,NJ,31040,Passaic,NJ,284,Hackensack,NJ
310008,Holy Name Medical Center,Teaneck,NJ,31061,Teaneck,NJ,284,Hackensack,NJ
310009,Clara Maass Medical Center,Belleville,NJ,31003,Belleville,NJ,289,Newark,NJ
310010,University Med Ctr at Princeton,Princeton,NJ,31047,Princeton,NJ,288,New Brunswick,NJ
310011,Cape Regional Medical Center,Cape May Court House,NJ,31006,Cape May Court House,NJ,283,Camden,NJ
310012,Valley Hospital,Ridgewood,NJ,31050,Ridgewood,NJ,292,Ridgewood,NJ
310014,Cooper Health System,Camden,NJ,31005,Camden,NJ,283,Camden,NJ
310015,Morristown Medical Center,Morristown,NJ,31031,Morristown,NJ,285,Morristown,NJ
310016,Christ Hospital,Jersey City,NJ,31023,Jersey City,NJ,289,Newark,NJ
310017,Chilton Memorial Hospital,Pompton Plains,NJ,31046,Pompton Plains,NJ,291,Paterson,NJ
310019,St. Joseph's Regional Med Ctr,Paterson,NJ,31041,Paterson,NJ,291,Paterson,NJ
310021,St. Francis Medical Center,Trenton,NJ,31063,Trenton,NJ,356,Philadelphia,PA
310022,Virtua West Jersey Hosp-Voorhees,Berlin,NJ,31005,Camden,NJ,283,Camden,NJ
310024,RWJ University Hosp-Rahway,Rahway,NJ,31048,Rahway,NJ,289,Newark,NJ
310025,Bayonne Medical Center,Bayonne,NJ,31002,Bayonne,NJ,289,Newark,NJ
310027,Trinitas Regional Medical Center,Elizabeth,NJ,31011,Elizabeth,NJ,289,Newark,NJ
310028,Newton Medical Center,Newton,NJ,31036,Newton,NJ,285,Morristown,NJ
310029,Our Lady of Lourdes Med Ctr,Camden,NJ,31005,Camden,NJ,283,Camden,NJ
